experiment,model,fold,run_id,params,best_epoch,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,R2,peak_F1,peak_precision,peak_recall,peak_accuracy,peak_missed_rate,peak_timing_err_ms_median,MAE_mean_hr_bpm,MAE_rmssd_ms
A_valsalva,fpn,2,A_valsalva__fpn__f2,2237313,18,0.15931201124722869,0.043388660282392674,42.43817503349258,73.56920489674465,0.5131726177485096,0.8183008070545644,-0.70595775867936,0.1268959049724284,0.21315955970643738,0.09241488145930753,0.07341446967736495,0.9075851185406925,41.666666666666664,11.453048277003953,423.56228585981745
A_valsalva,fpn,3,A_valsalva__fpn__f3,2237313,12,0.12763343289042808,0.028473670573012973,47.255448563579954,81.38688099702061,0.4858585172574239,0.817507078234891,-0.11470360336713877,0.04604842028917223,0.05992902639408232,0.03782921305777056,0.023772140026561944,0.9621707869422295,62.5,6.081088668234595,360.4040476428394
A_valsalva,fpn,4,A_valsalva__fpn__f4,2237313,17,0.17684399934357892,0.049041430760514225,52.750991506613204,84.54701391966944,0.5391979287072983,0.6516345956945405,-1.8247154984037903,0.8029234464890826,0.9375137462299413,0.7070514882600072,0.6753486473014315,0.29294851173999276,15.625,1.6597181275492616,149.8509250570064
A_valsalva,linknet,0,A_valsalva__linknet__f0,2775361,15,0.1760781587518983,0.0425939991917072,55.580418028249944,81.71115063108311,0.6665150668265605,0.6652378193342345,-1.0778522506795432,0.7253042807194832,0.9482297545478917,0.6037988663795611,0.5889345328021002,0.3962011336204388,16.927083333333332,3.661973477763174,216.2408685426177
A_valsalva,linknet,1,A_valsalva__linknet__f1,2775361,15,0.1834439794822607,0.05072638547305565,30.03391311530765,69.92625678534071,0.5030065753925441,0.7346113104455033,-0.9435417934169259,0.5745435583120971,0.7560110149819413,0.480603342501231,0.46414048551598047,0.519396657498769,26.5625,3.0319594582006077,284.4916435135872
A_valsalva,linknet,2,A_valsalva__linknet__f2,2775361,20,0.15246499929493826,0.037638975799040436,47.1411542444546,77.759438761065,0.4956917668250199,0.7937413247303285,-0.4655845075955593,0.2418315497726987,0.28095216981112153,0.2352953452865245,0.14220715562980746,0.7647046547134756,53.385416666666664,26.70396441209832,371.57285647718555
A_valsalva,linknet,3,A_valsalva__linknet__f3,2775361,12,0.13293392848658714,0.030180390999493167,50.59310451820258,82.80536020615801,0.4993903825546778,0.934951295707819,-0.18113332441210858,0.04658360935143511,0.049276890189028325,0.04450239103301543,0.023989655184738126,0.9554976089669844,49.21875,10.95288282079488,313.23312451896743
A_valsalva,linknet,4,A_valsalva__linknet__f4,2775361,19,0.1683575828592409,0.04573837202989365,52.09246924575929,86.78825897525542,0.5252977947867989,0.680489871347035,-1.6112492643340501,0.8768459434725366,0.9745269781293976,0.7976553075440631,0.7818992677936738,0.20234469245593695,14.0625,2.050243377438663,94.01246934991275
A_valsalva,multireslinknet,0,A_valsalva__multireslinknet__f0,9218556,14,0.1826623603968531,0.04486316375783417,53.25122704283769,82.0223835472034,0.6790273974294474,0.673953293169874,-1.1897241409538195,0.6936230017496868,0.8895548905147899,0.5878849719058111,0.5679311091069204,0.41211502809418893,19.53125,4.60329703422216,229.0066230766428
A_valsalva,multireslinknet,1,A_valsalva__multireslinknet__f1,9218556,8,0.17007904536093563,0.04514613319365499,36.49408794152654,75.0424424589922,0.47071331782661774,0.7036410111873472,-0.7015441128059077,0.5650382890088979,0.7604718617489763,0.466452392304582,0.434928620962474,0.533547607695418,25.78125,3.7934468743171363,342.3799943373336
A_valsalva,multireslinknet,2,A_valsalva__multireslinknet__f2,9218556,10,0.1712955296271875,0.04667091557484168,67.64577832964541,87.32410250172356,0.5034598182202535,0.6498808121776639,-0.8688393247277179,0.7597463529378997,0.9796035265165739,0.6373409033860185,0.630700888218105,0.36265909661398155,13.020833333333334,11.136810736082893,312.0458297251035
A_valsalva,multireslinknet,3,A_valsalva__multireslinknet__f3,9218556,12,0.12089620629716046,0.025957713502303702,55.80167513749035,83.69216005411994,0.46216004628331836,0.8020809172342424,-0.05882476493044905,0.44985050245207925,0.4531826363622396,0.44945603634215364,0.29137437982584313,0.5505439636578463,25.0,20.583843290381566,429.38646809926314
A_valsalva,multireslinknet,4,A_valsalva__multireslinknet__f4,9218556,6,0.161697345489275,0.045268002233908144,44.24319935020095,82.19696397485083,0.5365991588714353,0.7394850471546106,-1.592358322419146,0.043424990386881565,0.05118089248453954,0.038133225379311096,0.022601208519036804,0.9618667746206888,44.53125,5.417954568825574,272.83332303270856
A_valsalva,unet,0,A_valsalva__unet__f0,12210881,34,0.18473590575677645,0.04470612775545666,58.5004204647478,81.87175812853091,0.6695404533828047,0.6888739455965459,-1.1875473772962566,0.7234153848250036,0.9137964474506535,0.6105089037487331,0.5857794689628332,0.38949109625126693,16.927083333333332,3.783325096972561,215.9625582799324
