experiment,variant,fold,params,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,R2,peak_F1,peak_precision,peak_recall,peak_accuracy,peak_missed_rate,peak_timing_err_ms_median,MAE_mean_hr_bpm,MAE_rmssd_ms
B_rva,L5_no_wavelet,4,3522488,0.2932598411688925,0.1450315093590816,62.51209626983031,90.89109957192186,0.8773191564144287,0.8596009292505274,-1.4059805527753846,0.8664194609660713,0.9278359903835685,0.8207162277014382,0.779262538306511,0.1792837722985618,17.08984375,3.961868247292018,189.88775657373424
B_rva,L6_no_ssm,0,3099388,0.2970381021415874,0.14134326841814687,37.26532430775843,79.08243050328909,0.852134826636946,0.7219657994694476,-0.7053414421909332,0.6973733057844834,0.7783993720597073,0.6424919195103187,0.5693441685385286,0.3575080804896813,22.977941176470587,6.60749670673672,292.9613722018176
B_rva,L6_no_ssm,1,3099388,0.3984083190976504,0.21258383688418248,54.862917537072,90.02122403604359,1.131102610884774,0.5448307974597113,-0.9639651505256591,0.8453310275796201,0.8957698714352242,0.81083325739534,0.7646026677157298,0.18916674260466004,11.23046875,3.4036628828574855,186.4892435619378
B_rva,L6_no_ssm,3,3099388,0.23674739467619396,0.109945623896772,64.07982217265427,90.54323012885413,0.7028997341967713,0.8409114071905645,-0.274559885853561,0.902751898546823,0.9303457571376004,0.8883205792844916,0.8326478004122169,0.11167942071550835,13.020833333333334,2.240939661659065,147.65703483734504
B_rva,L6_no_ssm,4,3099388,0.32106443424365877,0.16918386347983957,54.9987606567287,90.4039459629198,0.9114853902315389,0.7182559046713707,-1.743669604582988,0.9592720072333198,0.9592401184322079,0.9617263470264331,0.9254664945578787,0.03827365297356687,14.6484375,0.9887188597873942,72.13653552473278
B_rva,L7_singletask,0,4080698,0.3606743700316829,0.17139649235364035,61.038714101157375,84.53240291512029,0.8894106729188707,0.5947952308684162,-1.0778841758353532,0.8282776723767334,0.8745390254311048,0.8002118421589991,0.7300029669414455,0.19978815784100082,12.867647058823529,3.2516412968039092,220.94333948243968
B_rva,L7_singletask,2,4080698,0.32200441595254925,0.15027600598576463,72.48454758328725,91.0061282943921,0.7399393903838212,0.6295010810280095,-0.3401796037995911,0.6433660074406098,0.7581462204541733,0.585253276080843,0.5144805510423962,0.41474672391915696,29.18198529411765,8.20258686862281,300.79606773636345
B_rva,L7_singletask,3,4080698,0.2562196883380855,0.13007575643305858,63.487222181004654,89.22636123289593,0.7474097418823267,1.5561259585061444,-0.37719206642719305,0.908780454056793,0.9284247108480123,0.8957728544363887,0.8406865535332507,0.10422714556361129,11.979166666666666,2.2888276808717336,166.54262344490144
B_rva,L7_singletask,4,4080698,0.32217650803232845,0.17413877651792878,58.47874419133874,89.1923156713068,0.931367780199912,0.6919021847774525,-1.86384345420757,0.9401427951286738,0.9561304677082618,0.9344330919190527,0.897182491165579,0.06556690808094728,13.671875,1.2254525046728304,72.18999563421954
B_rva,L8_no_film,0,4088188,0.3437910390819178,0.1648968370078129,63.618942995693715,84.52130196305987,0.9077982714137433,0.6372913770584547,-1.0113338913429895,0.8651408460673742,0.8943975482857036,0.8446364169956178,0.7877550598858782,0.15536358300438227,12.178308823529411,1.8658339280309288,161.4932807769899
B_rva,L8_no_film,1,4088188,0.4431123031783607,0.25324706609155845,50.50077698637338,89.03430435674326,1.2867102111049529,0.678019621200668,-1.4453485641634662,0.8470617505045326,0.8832278221212571,0.8165203729658363,0.7625379307501039,0.18347962703416373,11.23046875,1.9290978476824354,174.4387900524215
B_rva,L8_no_film,2,4088188,0.3120354413702963,0.14495035701420478,71.16214085367713,90.75523262315912,0.7232006294813891,0.6014530392852959,-0.2755092408092917,0.6447997299968595,0.8072637139463733,0.5653676548936364,0.5148238133716994,0.43463234510636367,30.330882352941178,8.134755302964653,301.3547056025461
B_rva,L8_no_film,3,4088188,0.3046255822706833,0.15381056954266523,61.81036188761811,89.25951308265888,0.7981078562198548,0.8139835786907863,-0.7538207869512628,0.9155392325853563,0.9306184673350654,0.9065982150519455,0.8516000806204087,0.09340178494805439,13.020833333333334,2.2312772349093417,152.86830352586168
B_rva,L8_no_film,4,4088188,0.3119151531905995,0.16390202425930808,62.83141276253417,92.2270369242853,0.904118121503702,0.7217056564394232,-1.717154904634393,0.9279103308300775,0.952719404215302,0.9118341192642081,0.8742086814200115,0.0881658807357919,13.671875,1.4225794826287639,85.38494496336992
B_rva,L9_full,1,4090620,0.4045673003353183,0.22321317235731294,50.699214946588604,89.91196728422047,1.180924138179534,0.6336945170286052,-1.061657029266014,0.844999524252282,0.8737211478459789,0.820936043039441,0.7639718861696536,0.17906395696055905,12.6953125,3.063896472147007,177.70007497740977
