subject,L10_transformer,L2_loss_only,L3_c1_only,L4_c1_c5,L5_no_wavelet,L6_no_ssm,L7_singletask,L8_no_film,L9_full,fpn,linknet,multireslinknet,unet
GDN0015,71.58510242462482,56.58461249165133,66.5220320562658,69.32693565695375,69.08667969695712,66.9528334269051,69.59720674327178,70.40392193707312,73.74162907540592,53.41250683073554,48.050179217574325,3.3591974181101034,0.8803068171628978
GDN0016,56.68859623235933,59.17975863504843,52.989965799564,11.901843074225505,50.371889351740755,67.69496924408695,48.886060249916525,49.37696220510747,46.93461581280242,26.206471082368616,33.336099892299316,50.55187666794507,49.40184603131099
GDN0017,42.700148230260154,66.65042880957876,53.41343893908041,57.992298809384266,61.05374418097781,39.70743514711229,59.1791424949037,67.80698471580813,58.939659490428426,65.67667505489854,66.39016088614758,60.12068302145542,69.03490485236969
GDN0018,54.74659084248993,66.03577825029637,77.5629679014687,73.79335815897772,51.742649585102384,46.34841929343412,77.34962706265004,76.53974736011946,69.7112919977548,70.2105629338907,57.60794547476292,68.11477650906025,0.4650881346436837
GDN0019,13.010531302222946,41.97484647958949,42.237336723143386,46.38800240050083,45.75920535020883,25.604375298180837,31.01024582776141,38.8145812126672,4.622914957189876,57.0905872800862,34.53414691224933,43.3380847166372,30.37736811984551
GDN0020,33.30191475605672,59.251565975069596,64.02339553782909,64.88601825996092,33.643104039903434,29.753703902164425,69.29350939927528,71.6623505762738,67.65963305289657,65.81927495884993,61.343161623675336,66.3333852224448,0.184071433373399
GDN0021,47.288653719868705,54.25537160595948,54.226914259853324,39.794422132235,44.69159738992697,39.27427193058153,38.52824583782368,37.96093291332927,45.590686375698844,48.80862491772956,50.9274077022213,14.459861027054432,0.8448769602576922
GDN0022,29.330722875869135,45.522738613491526,32.371697005840446,39.49996470527848,28.556725720872855,21.776855788402777,38.457794898908205,43.000352398251515,38.02338132893264,46.54303487528526,41.67777154678885,39.201798877491385,39.482352720911386
GDN0023,66.7989609230198,75.68642492570004,83.54392129241917,82.02672885006804,86.08622530862547,87.9311852308668,86.35646048579588,84.04308778289318,79.69955256353035,75.1118099540513,73.48386689157799,76.93227256478033,72.8783430880321
GDN0024,67.36114068815209,62.37477418635778,69.21990522912948,55.21455190121916,72.36849315554664,60.371967572655365,78.48350166576822,74.23434177395623,35.91423922470606,66.08516691135361,53.792475631160436,57.67999965455677,63.449602266975475
GDN0025_no02,77.75663072615319,62.07549040853412,85.12428980035114,82.24417899469138,73.57266334262195,69.27595831891634,81.92553497371766,83.55618744809145,85.28188600820167,67.62046781858989,61.22247669324725,67.59868352490474,-0.35487016721326714
GDN0026,74.65227369420636,60.87870440115265,72.29204591400546,40.15543302479388,74.20381975849219,63.85886379345088,84.78581797515179,73.33091930137972,82.54168878588249,21.900957242964346,5.4797096705741675,82.07420051477828,82.92611069268612
GDN0027,38.06046535749338,25.434342471800665,35.86859662416668,43.50049132349311,47.05183437881548,46.011206754028194,34.96233150709546,40.63222428977499,32.803556673427444,24.334399463938976,38.76493043525478,26.793967288106998,27.90070763280504
GDN0028,68.69536548317923,57.015640101061194,72.51011511181456,78.11851002165623,79.6009100475595,58.82007021638069,75.06358118067023,82.11376716953498,60.42201576940219,80.06583016637533,46.204039257329704,62.12023349271636,50.295522104625114
GDN0029,64.89125833918149,65.02491589010457,70.00132802274452,67.88799629110092,69.01156058744382,56.95997138769868,81.9888354290369,82.8676305909468,79.15714249214294,68.36107523096729,59.50435010418423,60.29146396552928,65.07985432675589
GDN0030,16.51080864924854,42.430313122456866,49.81037876484609,55.20222662508928,47.985272843798,46.64390388489451,42.725333606683904,51.06984759808215,40.41177524881881,49.107920589385614,23.104795799630846,43.17227264154612,36.61132663002763
GND0006,11.546764429449327,37.167059379181616,20.00907221045054,20.285852861435973,32.61952336953911,6.511465573782872,33.73335785754278,32.70045180308374,34.09407616628722,28.314960107142923,27.220397813512992,16.010213934353043,21.622594130900612
