variant,corruption,level,channel,n,comparison_scale,MAE,MAE_std,MSE,MSE_std,CC_temporal,CC_temporal_std,CC_spectral,CC_spectral_std,RRMSE_temporal,RRMSE_temporal_std,RRMSE_spectral,RRMSE_spectral_std,R2,R2_std
L9_full,channel_dropout,1.0,phi,800,"[0,1]",0.14661182140647724,0.05302262479572002,0.03352822940707457,0.01990518931568665,62.41287658467409,22.27688315242455,86.70323539000464,11.594508388487327,0.5121711687332716,0.32443548067135575,0.6170429108613085,0.37868113645856843,-0.6142223656310953,1.5066014260358698
L9_full,channel_dropout,1.0,dy,800,"[0,1]",0.13462750017137295,0.03737784642354238,0.02859974363784174,0.01288074349384705,64.12373886220712,19.977980274916817,87.96854219163565,10.596788648254195,0.4624428862594001,0.21247988858718156,0.6761706499228931,0.8354994253798934,-0.35786207357841093,1.0922522018454701
L9_full,channel_dropout,1.0,vel,800,"[0,1]",0.1578207946298062,0.04531288305121821,0.036886817441501914,0.0146031299590927,62.96867564570215,24.117345351506422,85.78188303243508,12.722411965340214,0.5177230269381433,0.2164443384146804,0.7683918623294163,0.9277377201340598,-0.6878584556751608,1.0013531733367755
L9_full,channel_dropout,1.0,acc,800,"[0,1]",0.13491735858078754,0.0391998876096691,0.029795329047940786,0.013127075470911768,58.7145073819894,24.320843096181218,86.12001951065285,12.820131352821528,0.4830683297546313,0.2549996863659792,0.7230424109736323,1.0153434353423236,-0.40882922482359263,1.0010759762560162
L9_full,channel_dropout,1.0,amp,800,"[0,1]",0.15804434486675745,0.04991439817767305,0.036471210766860634,0.01599864625575535,62.5665057821302,20.573920161272035,87.25538887977082,11.334224969492912,0.5095966682989759,0.2206605012124953,0.6428622466418156,0.7289504284338744,-0.7102837496663164,1.2816958238600948
L9_full,channel_dropout,1.0,cardiac,800,"[0,1]",0.13510102770516824,0.05473694080857713,0.030548084553600755,0.019929208373297924,56.33479847090557,18.91989359132585,85.77516734629906,11.14445555802418,0.5006964694839092,0.32925893598168937,0.6792080127953714,0.2356257689413942,-0.5439876405000676,2.2310697832444903
multireslinknet,clean,0.0,,800,"[0,1]",0.17504444047808648,0.0524329254298179,0.04291060043650037,0.02004728824599683,57.4862377319761,25.039692613598525,81.87797675700884,25.53214266701804,0.5774756278963767,0.33455631752034465,0.6484719920139519,0.42915377388942766,-1.050453789099587,1.5352638539128818
multireslinknet,awgn,12.0,,800,"[0,1]",0.15392997988208662,0.04075785594782264,0.04243173060812854,0.01579955749915381,8.924587071550114,15.782460031933454,74.78721105850782,18.865036526045483,0.5541797243227253,0.2059631597133489,0.833681013638287,0.11135891103839766,-0.8903320845773923,0.8671784326658237
multireslinknet,awgn,6.0,,800,"[0,1]",0.16841120296488954,0.057273057092879436,0.04986844102496212,0.027962980405727922,3.6863013523246053,10.083240792512983,66.89921966821936,26.74989700740666,0.5848570211027679,0.2094105405240745,0.9234031207046961,0.07405358260948096,-1.2214689836577453,1.4948694075709115
multireslinknet,awgn,3.0,,800,"[0,1]",0.18098528137576067,0.06813570829695424,0.0563218400295615,0.0360660565822946,2.003498643086224,8.317229504715373,61.29861472520117,29.9954382564949,0.6070948577601863,0.20713650030508163,0.9442242527540688,0.057646036763462964,-1.5230172933822772,1.9572485566816522
multireslinknet,awgn,0.0,,800,"[0,1]",0.1949934449254215,0.0808451639488229,0.06436428874231717,0.0444406707764354,1.5465444007450548,6.700997022192833,53.887495194851255,30.112328638663215,0.6305307432162671,0.19874317346364118,0.9525042935008259,0.040482574957821614,-1.8972242871367175,2.4823159655449185
multireslinknet,awgn,-3.0,,800,"[0,1]",0.2106097910373137,0.09379482948542442,0.0741513184284056,0.052335203519534,1.1501577107310674,5.813522366336716,44.06781036440602,28.605149343240488,0.6598970939673137,0.19085301105220992,0.9563008970567559,0.03179944393568846,-2.3445560746729073,2.9874506471076856
multireslinknet,motion_drift,0.25,,800,"[0,1]",0.1727003591457833,0.05179619244502084,0.04238321287476264,0.019751915568711465,54.68294879315843,23.61404730996621,81.57587642557422,24.191664760679092,0.5784957842308619,0.33837701723879426,0.6476019627022346,0.3334681846347502,-1.034925051542603,1.575465770448856
multireslinknet,motion_drift,0.5,,800,"[0,1]",0.16733780188766104,0.05450844107052539,0.04159712612638956,0.019925329472214953,47.550375559489794,22.678363390398143,78.1209984009121,22.15446632338034,0.5838805768480255,0.3576485672892089,0.703156149787047,0.2677876384947767,-1.0123261978706315,1.6152857857354859
multireslinknet,channel_dropout,1.0,dy,800,"[0,1]",0.18708520667907577,0.06930448347038151,0.059507170686152036,0.029805955946406466,-0.01881508565223622,6.504820718168613,27.43784990814618,11.706125478003957,0.5880884931083246,0.08619451805876542,0.9891071045126207,0.005718550428832767,-1.5356209550421542,1.4665245372751181
