run_id,source_repo,experiment,variant,target_scale_recorded,comparison_scale,fold,params,best_epoch,gflops_per_window,forward_ms,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,R2,peak_F1,peak_precision,peak_recall,peak_accuracy,peak_missed_rate,peak_timing_err_ms_median,MAE_mean_hr_bpm,MAE_rmssd_ms,MAE_recorded,MSE_recorded
A_apnea__multireslinknet__f0,baselines,A_apnea,multireslinknet,"[0,1]","[0,1]",0,9218556,13,3.478046464,60.60004234313965,0.15980796701346878,0.03515510258824109,38.824328357277935,72.02432073193438,0.5584955373043003,0.7327413310990752,-1.2290019209843162,0.3310659249365099,0.38037277647538487,0.312497885193251,0.2038768330266001,0.687502114806749,21.875,31.991626715873906,468.59743068720616,0.15980796701346878,0.03515510258824109
A_apnea__multireslinknet__f1,baselines,A_apnea,multireslinknet,"[0,1]","[0,1]",1,9218556,36,3.478046464,60.60004234313965,0.19463956317765854,0.05286289339524752,36.99043443141977,77.98659478921633,0.5910404999116216,0.7302989623740775,-1.0760828159083429,0.5157502852404147,0.7745219626833784,0.3925865558887832,0.36752132792136505,0.6074134441112168,20.3125,8.858107389758224,349.0466578554523,0.19463956317765854,0.05286289339524752
A_apnea__multireslinknet__f2,baselines,A_apnea,multireslinknet,"[0,1]","[0,1]",2,9218556,22,3.478046464,60.60004234313965,0.12286458032939018,0.026908989997385106,44.78038758911413,82.5216958179196,0.43262015281272603,0.8023253765285543,-0.110115706507558,0.26238741352424005,0.3715737396169941,0.2085718146116558,0.16132802112609307,0.7914281853883443,62.5,11.33369148297964,356.1244645545768,0.12286458032939018,0.026908989997385106
A_apnea__multireslinknet__f3,baselines,A_apnea,multireslinknet,"[0,1]","[0,1]",3,9218556,21,3.478046464,60.60004234313965,0.14068236638688955,0.030436583600933174,49.02130073708338,76.22523570402076,0.5336475284902952,0.7050393292381077,-0.28802098482872235,0.25131217858589333,0.2541946992864424,0.25004536263951604,0.14494956021730093,0.7499546373604838,23.4375,22.94919381058879,278.9383974214319,0.14068236638688955,0.030436583600933174
A_apnea__multireslinknet__f4,baselines,A_apnea,multireslinknet,"[0,1]","[0,1]",4,9218556,13,3.478046464,60.60004234313965,0.14585603352263984,0.03746431481747508,39.1489014483435,76.86100491215198,0.49079882094733673,0.8171985595519208,-3.162602985856489,0.4129782155401986,0.6683676723596078,0.3165045462328231,0.2803258256531343,0.6834954537671768,25.0,11.393520051427402,337.61049816451134,0.14585603352263984,0.03746431481747508
A_apnea__unet__f0,baselines,A_apnea,unet,"[0,1]","[0,1]",0,12210881,3,2.793930752,45.86052894592285,0.16080800949712284,0.039754487991557404,0.5095734365438348,8.533989175207028,0.6029762409757098,0.9984763182134209,-1.5262409352650117,0.035306768393710705,0.1542036910457963,0.019953844443671896,0.018064745123208277,0.9800461555563281,22.4609375,,,0.16080800949712284,0.039754487991557404
A_apnea__unet__f1,baselines,A_apnea,unet,"[0,1]","[0,1]",1,12210881,55,2.793930752,45.86052894592285,0.2039084643646418,0.058120900703011534,35.31738657007936,71.63740012334235,0.6224979472552679,0.7215267867539242,-1.2274198395624223,0.5448897410032726,0.8750824061698514,0.4073407852388267,0.3973059443852899,0.5926592147611733,15.625,7.956682387640323,334.5485520975113,0.2039084643646418,0.058120900703011534
A_apnea__unet__f2,baselines,A_apnea,unet,"[0,1]","[0,1]",2,12210881,41,2.793930752,45.86052894592285,0.13079091517128344,0.029079979522824522,47.74029481029717,78.63746259717453,0.4493687764396773,0.9661271516349765,-0.21609150867095367,0.22437033892674196,0.3021828167397198,0.1862705083229411,0.13749803066442226,0.8137294916770589,35.9375,10.179281240570116,330.4135461376186,0.13079091517128344,0.029079979522824522
A_apnea__unet__f3,baselines,A_apnea,unet,"[0,1]","[0,1]",3,12210881,22,2.793930752,45.86052894592285,0.15521149740925466,0.035352175082953054,1.0338451876036527,14.553840640888478,0.5723995684705753,0.9961680002416086,-0.4504578793851785,0.0486953727890991,0.18648104403051546,0.0283054036186733,0.024971327675816588,0.9716945963813267,58.59375,,,0.15521149740925466,0.035352175082953054
A_apnea__unet__f4,baselines,A_apnea,unet,"[0,1]","[0,1]",4,12210881,22,2.793930752,45.86052894592285,0.14623007729304455,0.037175863278201896,18.649974969801434,48.997964202658714,0.5121867271063594,0.923886492299115,-2.521736649100739,0.09933632027749675,0.14900357968808006,0.07685726092918994,0.052611041845228336,0.92314273907081,45.3125,23.362194478511988,360.24910398424373,0.14623007729304455,0.037175863278201896
